TesterName,StreamName,TestType,MatchFiles,MisMatchFiles,TotalFiles,TotalCDRCompared,FileResult,CDRResult,TimeTaken,Date,ReportFileName
ROHAN,HDP_MSC,ZIP_Summary,498,0,498,1989098,PASS,n/a,4.27,01-06-2023 10:52AM,ROHAN_HDP_MSC_ZIP_Summary_2023_06_01-10_52_15_AM.txt
RAJU,EC20_SDP_ASN,ZIP_Detailed,15333,0,15333,17393575,PASS,n/a,59.86,01-06-2023 01:08PM,RAJU_EC20_SDP_ASN_ZIP_Detailed_2023_06_01-01_07_30_PM.txt
RAJU,EC20_SDP_ADJ,ZIP_Summary,65,0,65,546503,PASS,n/a,1.16,01-06-2023 01:20PM,RAJU_EC20_SDP_ADJ_ZIP_Summary_2023_06_01-01_20_01_PM.txt
RAJU,EC20_SDP_ADJ,DIFF_Summary,65,0,65,546503,PASS,PASS,90.84,01-06-2023 01:21PM,RAJU_EC20_SDP_ADJ_DIFF_Summary_2023_06_01-01_20_22_PM.txt
RAJU,EC20_SDP_LCY,DIFF_Summary,98,0,98,1880567,PASS,PASS,756.34,01-06-2023 01:35PM,RAJU_EC20_SDP_LCY_DIFF_Summary_2023_06_01-01_22_24_PM.txt
RAJU,EC20_SDP_ASN,DIFF_Summary,15333,0,15333,17393575,PASS,PASS,4188.10,01-06-2023 02:19PM,RAJU_EC20_SDP_ASN_DIFF_Summary_2023_06_01-01_09_21_PM.txt
RAJU,EC20_SDP_PELATRO_ADJ,DIFF_Summary,63,0,63,415999,PASS,PASS,317.13,01-06-2023 02:59PM,RAJU_EC20_SDP_PELATRO_ADJ_DIFF_Summary_2023_06_01-02_54_07_PM.txt
RAJU,EC20_SDP_PELATRO_ASN,DIFF_Summary,13785,0,13785,209183,PASS,PASS,177.01,01-06-2023 03:02PM,RAJU_EC20_SDP_PELATRO_ASN_DIFF_Summary_2023_06_01-02_59_53_PM.txt
RAJU,EC20_SDP_PELATRO_LCY,DIFF_Summary,98,0,98,1880567,PASS,PASS,1595.45,01-06-2023 03:32PM,RAJU_EC20_SDP_PELATRO_LCY_DIFF_Summary_2023_06_01-03_05_37_PM.txt
RAJU,EC20_SDP_UPSS_ASNLC,DIFF_Summary,2694,0,2694,29693,PASS,PASS,14.07,01-06-2023 03:39PM,RAJU_EC20_SDP_UPSS_ASNLC_DIFF_Summary_2023_06_01-03_39_14_PM.txt
RAJU,EC20_SDP_UPSS_ADJ,DIFF_Summary,63,0,63,415999,PASS,PASS,291.99,01-06-2023 03:43PM,RAJU_EC20_SDP_UPSS_ADJ_DIFF_Summary_2023_06_01-03_38_09_PM.txt
RAJU,EC20_SDP_UPSS_ASN,DIFF_Summary,13785,0,13785,209183,PASS,PASS,174.80,01-06-2023 03:43PM,RAJU_EC20_SDP_UPSS_ASN_DIFF_Summary_2023_06_01-03_40_08_PM.txt
RAJU,EC20_SDP_UPSS_LCY,DIFF_Summary,98,0,98,1880567,PASS,PASS,914.27,01-06-2023 04:03PM,RAJU_EC20_SDP_UPSS_LCY_DIFF_Summary_2023_06_01-03_48_22_PM.txt
RAJU,EC20_SDP_PELATRO_PAM,DIFF_Summary,6623,0,6623,7978251,PASS,PASS,3439.66,01-06-2023 06:39PM,RAJU_EC20_SDP_PELATRO_PAM_DIFF_Summary_2023_06_01-05_41_59_PM.txt
RAJU,EC20_SDP_UPSS_PAM,DIFF_Summary,6623,0,6623,7978251,PASS,PASS,3878.17,01-06-2023 06:43PM,RAJU_EC20_SDP_UPSS_PAM_DIFF_Summary_2023_06_01-05_38_31_PM.txt
