TesterName,StreamName,TestType,MatchFiles,MisMatchFiles,TotalFiles,TotalCDRCompared,FileResult,CDRResult,TimeTaken,Date,ReportFileName,hub
RAJU,NEW_ERICSSON_MSC_VIG,ZIP_Summary,1676,0,1676,16261701,PASS,n/a,8.38,23-01-2024 11:19AM,RAJU_NEW_ERICSSON_MSC_VIG_ZIP_Summary_2024_01_23-11_18_57_AM.txt,hub4
RAJU,NEW_ERICSSON_MSC_VIG,DIFF_Summary,1676,0,1676,16261701,PASS,PASS,941.76,23-01-2024 11:38AM,RAJU_NEW_ERICSSON_MSC_VIG_DIFF_Summary_2024_01_23-11_22_30_AM.txt,hub4
RAJU,NEW_ERICSSON_MSC_ASCII,ZIP_Summary,1523,0,1523,54133705,PASS,n/a,30.95,23-01-2024 02:00PM,RAJU_NEW_ERICSSON_MSC_ASCII_ZIP_Summary_2024_01_23-02_00_01_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_ICB_VOICE,ZIP_Summary,1456,0,1456,19012493,PASS,n/a,6.66,23-01-2024 03:33PM,RAJU_NEW_ERICSSON_MSC_ICB_VOICE_ZIP_Summary_2024_01_23-03_33_48_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_ICB_VOICE,DIFF_Summary,1456,0,1456,19012493,PASS,PASS,923.13,23-01-2024 03:49PM,RAJU_NEW_ERICSSON_MSC_ICB_VOICE_DIFF_Summary_2024_01_23-03_34_21_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_ICB_SMS,ZIP_Summary,897,0,897,1894259,PASS,n/a,0.84,23-01-2024 03:50PM,RAJU_NEW_ERICSSON_MSC_ICB_SMS_ZIP_Summary_2024_01_23-03_50_19_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_ICB_SMS,DIFF_Summary,897,0,897,1894259,PASS,PASS,97.17,23-01-2024 03:52PM,RAJU_NEW_ERICSSON_MSC_ICB_SMS_DIFF_Summary_2024_01_23-03_50_42_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_HDP,ZIP_Summary,1523,0,1523,53363187,PASS,n/a,27,23-01-2024 04:11PM,RAJU_NEW_ERICSSON_MSC_HDP_ZIP_Summary_2024_01_23-04_11_14_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_ASCII,DIFF_Summary,1523,0,1523,54133705,PASS,PASS,3789.54,23-01-2024 04:32PM,RAJU_NEW_ERICSSON_MSC_ASCII_DIFF_Summary_2024_01_23-03_29_12_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_HDP,DIFF_Summary,1523,0,1523,53363187,PASS,PASS,3458.53,23-01-2024 05:09PM,RAJU_NEW_ERICSSON_MSC_HDP_DIFF_Summary_2024_01_23-04_11_59_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_DOX,ZIP_Summary,1285,0,1285,415099,PASS,n/a,0.5,23-01-2024 05:10PM,RAJU_NEW_ERICSSON_MSC_DOX_ZIP_Summary_2024_01_23-05_10_56_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_DOX,DIFF_Summary,1285,0,1285,415099,PASS,PASS,32.66,23-01-2024 05:11PM,RAJU_NEW_ERICSSON_MSC_DOX_DIFF_Summary_2024_01_23-05_11_20_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_CMP,ZIP_Summary,475,0,475,1414,PASS,n/a,0.1,23-01-2024 05:12PM,RAJU_NEW_ERICSSON_MSC_CMP_ZIP_Summary_2024_01_23-05_12_57_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_CMP,DIFF_Summary,475,0,475,1414,PASS,PASS,0.32,23-01-2024 05:13PM,RAJU_NEW_ERICSSON_MSC_CMP_DIFF_Summary_2024_01_23-05_13_20_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_NRTDE,ZIP_Summary,230,0,230,458,PASS,n/a,0.05,23-01-2024 05:14PM,RAJU_NEW_ERICSSON_MSC_NRTDE_ZIP_Summary_2024_01_23-05_14_16_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_NRTDE,DIFF_Summary,230,0,230,458,PASS,PASS,0.14,23-01-2024 05:14PM,RAJU_NEW_ERICSSON_MSC_NRTDE_DIFF_Summary_2024_01_23-05_14_36_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_FMS,ZIP_Summary,1287,0,1287,419544,PASS,n/a,0.4,23-01-2024 05:15PM,RAJU_NEW_ERICSSON_MSC_FMS_ZIP_Summary_2024_01_23-05_15_10_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_FMS,DIFF_Summary,1287,0,1287,419544,PASS,PASS,23.63,23-01-2024 05:15PM,RAJU_NEW_ERICSSON_MSC_FMS_DIFF_Summary_2024_01_23-05_15_29_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_HDP,ZIP_Summary,6151,0,6151,87824873,PASS,n/a,45.59,24-01-2024 02:23PM,RAJU_NOKIA_MSC_STREAM_HDP_ZIP_Summary_2024_01_24-02_22_59_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_CMP,ZIP_Summary,858,0,858,1518,PASS,n/a,0.15,24-01-2024 02:26PM,RAJU_NOKIA_MSC_STREAM_CMP_ZIP_Summary_2024_01_24-02_26_23_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_CMP,DIFF_Summary,858,0,858,1518,PASS,PASS,0.5,24-01-2024 02:26PM,RAJU_NOKIA_MSC_STREAM_CMP_DIFF_Summary_2024_01_24-02_26_50_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_DOX,ZIP_Summary,5403,0,5403,696183,PASS,n/a,1.38,24-01-2024 02:27PM,RAJU_NOKIA_MSC_STREAM_DOX_ZIP_Summary_2024_01_24-02_27_35_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_DOX,DIFF_Summary,5403,0,5403,696183,PASS,PASS,77.68,24-01-2024 02:29PM,RAJU_NOKIA_MSC_STREAM_DOX_DIFF_Summary_2024_01_24-02_28_02_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_ICB_VOICE,ZIP_Summary,5731,40,5771,19542700,FAIL,n/a,7.92,24-01-2024 02:31PM,RAJU_NOKIA_MSC_STREAM_ICB_VOICE_ZIP_Summary_2024_01_24-02_31_45_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_ICB_VOICE,DIFF_Summary,5731,40,5771,19542700,FAIL,PASS,1896.34,24-01-2024 03:04PM,RAJU_NOKIA_MSC_STREAM_ICB_VOICE_DIFF_Summary_2024_01_24-02_32_34_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_NRTDE,ZIP_Summary,1723,0,1723,5165,PASS,n/a,0.27,24-01-2024 03:05PM,RAJU_NOKIA_MSC_STREAM_NRTDE_ZIP_Summary_2024_01_24-03_05_01_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_NRTDE,DIFF_Summary,1723,0,1723,5165,PASS,PASS,1.08,24-01-2024 03:05PM,RAJU_NOKIA_MSC_STREAM_NRTDE_DIFF_Summary_2024_01_24-03_05_24_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_ASCII,ZIP_Summary,6151,0,6151,91532230,PASS,n/a,62.91,24-01-2024 03:07PM,RAJU_NOKIA_MSC_STREAM_ASCII_ZIP_Summary_2024_01_24-03_05_58_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_HDP,DIFF_Summary,6151,0,6151,87824873,PASS,PASS,7205.62,24-01-2024 04:24PM,RAJU_NOKIA_MSC_STREAM_HDP_DIFF_Summary_2024_01_24-02_24_09_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_ASCII,DIFF_Summary,6151,0,6151,91532230,PASS,PASS,9982.29,24-01-2024 05:53PM,RAJU_NOKIA_MSC_STREAM_ASCII_DIFF_Summary_2024_01_24-03_07_33_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_FMS,ZIP_Summary,5433,0,5433,708832,PASS,n/a,1.19,24-01-2024 06:10PM,RAJU_NOKIA_MSC_STREAM_FMS_ZIP_Summary_2024_01_24-06_10_01_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_FMS,DIFF_Summary,5433,0,5433,708832,PASS,PASS,58.21,24-01-2024 06:11PM,RAJU_NOKIA_MSC_STREAM_FMS_DIFF_Summary_2024_01_24-06_10_35_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_ICB_SMS,ZIP_Summary,4399,0,4399,4643671,PASS,n/a,2.27,24-01-2024 06:14PM,RAJU_NOKIA_MSC_STREAM_ICB_SMS_ZIP_Summary_2024_01_24-06_14_48_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_ICB_SMS,DIFF_Summary,4399,0,4399,4643671,PASS,PASS,267.44,24-01-2024 06:19PM,RAJU_NOKIA_MSC_STREAM_ICB_SMS_DIFF_Summary_2024_01_24-06_15_21_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_ICR,ZIP_Summary,1383,0,1383,4149,PASS,n/a,0.23,24-01-2024 06:26PM,RAJU_NEW_ERICSSON_MSC_ICR_ZIP_Summary_2024_01_24-06_26_21_PM.txt,hub4
RAJU,NEW_ERICSSON_MSC_ICR,DIFF_Summary,1383,0,1383,4149,PASS,PASS,0.73,24-01-2024 06:26PM,RAJU_NEW_ERICSSON_MSC_ICR_DIFF_Summary_2024_01_24-06_26_50_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_VIG,ZIP_Summary,5503,0,5503,35552899,PASS,n/a,24.54,24-01-2024 06:43PM,RAJU_NOKIA_MSC_STREAM_VIG_ZIP_Summary_2024_01_24-06_43_29_PM.txt,hub4
RAJU,NOKIA_MSC_STREAM_VIG,DIFF_Summary,5503,0,5503,35552899,PASS,PASS,3581.92,24-01-2024 07:45PM,RAJU_NOKIA_MSC_STREAM_VIG_DIFF_Summary_2024_01_24-06_46_12_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_CMP,ZIP_Summary,5,0,5,5,PASS,n/a,0.02,30-01-2024 02:34PM,RAJU_HUAWEI_MSC_NEW_CMP_ZIP_Summary_2024_01_30-02_34_42_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_CMP,DIFF_Summary,5,0,5,5,PASS,PASS,0.02,30-01-2024 02:38PM,RAJU_HUAWEI_MSC_NEW_CMP_DIFF_Summary_2024_01_30-02_38_30_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_DOX,ZIP_Summary,308,0,308,29925,PASS,n/a,1.25,30-01-2024 03:22PM,RAJU_HUAWEI_MSC_NEW_DOX_ZIP_Summary_2024_01_30-03_22_47_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_DOX,DIFF_Summary,308,0,308,29925,PASS,PASS,5.96,30-01-2024 03:23PM,RAJU_HUAWEI_MSC_NEW_DOX_DIFF_Summary_2024_01_30-03_23_15_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_FMS,ZIP_Summary,200,0,200,28574,PASS,n/a,1.1,30-01-2024 03:24PM,RAJU_HUAWEI_MSC_NEW_FMS_ZIP_Summary_2024_01_30-03_24_18_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_FMS,DIFF_Summary,200,0,200,28574,PASS,PASS,2.47,30-01-2024 03:24PM,RAJU_HUAWEI_MSC_NEW_FMS_DIFF_Summary_2024_01_30-03_24_44_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_HDP,ZIP_Summary,394,0,394,1606385,PASS,n/a,10.13,30-01-2024 03:25PM,RAJU_HUAWEI_MSC_NEW_HDP_ZIP_Summary_2024_01_30-03_25_33_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_HDP,DIFF_Summary,394,0,394,1606385,PASS,PASS,199.83,30-01-2024 03:29PM,RAJU_HUAWEI_MSC_NEW_HDP_DIFF_Summary_2024_01_30-03_26_07_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_ICB_VOICE,DIFF_Summary,294,0,294,2364487,PASS,PASS,255.92,30-01-2024 03:35PM,RAJU_HUAWEI_MSC_NEW_ICB_VOICE_DIFF_Summary_2024_01_30-03_31_13_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_ICB_VOICE,ZIP_Summary,294,0,294,2364487,PASS,n/a,1.02,30-01-2024 03:36PM,RAJU_HUAWEI_MSC_NEW_ICB_VOICE_ZIP_Summary_2024_01_30-03_36_00_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_ICB_SMS,ZIP_Summary,200,0,200,191587,PASS,n/a,0.17,30-01-2024 03:37PM,RAJU_HUAWEI_MSC_NEW_ICB_SMS_ZIP_Summary_2024_01_30-03_37_49_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_ICB_SMS,DIFF_Summary,200,0,200,191587,PASS,PASS,21.98,30-01-2024 03:38PM,RAJU_HUAWEI_MSC_NEW_ICB_SMS_DIFF_Summary_2024_01_30-03_38_17_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_ICR,ZIP_Summary,394,0,394,1182,PASS,n/a,0.1,30-01-2024 03:42PM,RAJU_HUAWEI_MSC_NEW_ICR_ZIP_Summary_2024_01_30-03_42_24_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_ICR,DIFF_Summary,394,0,394,1182,PASS,PASS,0.28,30-01-2024 03:42PM,RAJU_HUAWEI_MSC_NEW_ICR_DIFF_Summary_2024_01_30-03_42_50_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_ICR,ZIP_Summary,394,0,394,1182,PASS,n/a,0.1,30-01-2024 03:43PM,RAJU_HUAWEI_MSC_NEW_ICR_ZIP_Summary_2024_01_30-03_43_59_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_NRTDE,ZIP_Summary,149,0,149,714,PASS,n/a,0.06,30-01-2024 03:45PM,RAJU_HUAWEI_MSC_NEW_NRTDE_ZIP_Summary_2024_01_30-03_45_37_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_NRTDE,DIFF_Summary,149,0,149,714,PASS,PASS,0.15,30-01-2024 03:45PM,RAJU_HUAWEI_MSC_NEW_NRTDE_DIFF_Summary_2024_01_30-03_45_57_PM.txt,hub4
RAJU,HUAWEI_MSC_NEW_VIG,ZIP_Summary,346,0,346,724867,PASS,n/a,0.46,30-01-2024 03:46PM,,hub4
RAJU,HUAWEI_MSC_NEW_VIG,DIFF_Summary,346,0,346,724867,PASS,PASS,94.8,30-01-2024 03:48PM,,hub4
RAJU,HUAWEI_MSC_NEW_VIG,ZIP_Summary,346,0,346,724867,PASS,n/a,0.46,30-01-2024 04:09PM,,hub4
RAJU,HUAWEI_MSC_NEW_VIG,DIFF_Summary,346,0,346,724867,PASS,PASS,114.77,30-01-2024 04:11PM,,hub4
RAJU,ZTE_MSC_STREAM_PBKK_CMP,ZIP_Summary,764,0,764,3319,PASS,n/a,0.17,31-01-2024 05:56PM,RAJU_ZTE_MSC_STREAM_PBKK_CMP_ZIP_Summary_2024_01_31-05_56_41_PM.txt,hub4
RAJU,ZTE_MSC_STREAM_PBKK_CMP,DIFF_Summary,764,0,764,3319,PASS,PASS,0.69,31-01-2024 05:57PM,RAJU_ZTE_MSC_STREAM_PBKK_CMP_DIFF_Summary_2024_01_31-05_57_07_PM.txt,hub4
RAJU,ZTE_MSC_STREAM_PBKK_DOX,ZIP_Summary,2585,0,2585,535859,PASS,n/a,0.96,31-01-2024 05:58PM,RAJU_ZTE_MSC_STREAM_PBKK_DOX_ZIP_Summary_2024_01_31-05_58_06_PM.txt,hub4
RAJU,ZTE_MSC_STREAM_PBKK_DOX,DIFF_Summary,2585,0,2585,535859,PASS,FAIL,59.89,31-01-2024 05:59PM,RAJU_ZTE_MSC_STREAM_PBKK_DOX_DIFF_Summary_2024_01_31-05_58_33_PM.txt,hub4
RAJU,ZTE_MSC_STREAM_PBKK_HDP,ZIP_Summary,2592,0,2592,64259155,PASS,n/a,33.25,31-01-2024 06:15PM,RAJU_ZTE_MSC_STREAM_PBKK_HDP_ZIP_Summary_2024_01_31-06_14_58_PM.txt,hub4
RAJU,ZTE_MSC_STREAM_PBKK_ICB_VOICE,ZIP_Summary,2592,0,2592,27538791,PASS,n/a,10.15,31-01-2024 06:47PM,RAJU_ZTE_MSC_STREAM_PBKK_ICB_VOICE_ZIP_Summary_2024_01_31-06_47_16_PM.txt,hub4
MANGESH,ICRAT_UPE_MSC,ZIP_Summary,3,0,3,4,PASS,n/a,0.05,01-02-2024 11:41AM,MANGESH_ICRAT_UPE_MSC_ZIP_Summary_2024_02_01-11_41_47_AM.txt,hub4
MANGESH,ICRAT_UPE_MSC,DIFF_Summary,3,0,3,4,PASS,PASS,0.02,01-02-2024 11:42AM,MANGESH_ICRAT_UPE_MSC_DIFF_Summary_2024_02_01-11_42_23_AM.txt,hub4
