TesterName,StreamName,TestType,MatchFiles,MisMatchFiles,TotalFiles,TotalCDRCompared,FileResult,CDRResult,TimeTaken,Date,ReportFileName
User2,DOX_MSC,ZIP_Detailed, 5,2,7,4368,FAIL,n/a,0.01,23-01-2023 05:57PM,User2_DOX_MSC_ZIP_Detailed_2023_01_23-05_57_32_PM.txt
User2,DOX_MSC,ZIP_Detailed,5,2,7,4368,FAIL,n/a,0.22,23-01-2023 06:37PM,User2_DOX_MSC_ZIP_Detailed_2023_01_23-06_37_34_PM.txt
User2,DOX_MSC,ZIP_Detailed,5,2,7,4368,FAIL,n/a,0.21,23-01-2023 06:45PM,User2_DOX_MSC_ZIP_Detailed_2023_01_23-06_45_37_PM.txt
User2,DOX_MSC,ZIP_Detailed,5,2,7,4368,FAIL,n/a,0.20,24-01-2023 03:49PM,User2_DOX_MSC_ZIP_Detailed_2023_01_24-03_49_23_PM.txt
User2,DOX_MSC,ZIP_Detailed,5,2,7,4368,FAIL,n/a,0.02,24-01-2023 03:51PM,User2_DOX_MSC_ZIP_Detailed_2023_01_24-03_51_24_PM.txt
User2,DOX_MSC,DIFF_Detailed, 5,2,7,4368,FAIL,FAIL,0.46,24-01-2023 03:52PM,User2_DOX_MSC_DIFF_Detailed_2023_01_24-03_52_17_PM.txt
User2,DOX_MSC,DIFF_Detailed, 5,2,7,4368,FAIL,FAIL,0.43,24-01-2023 04:00PM,User2_DOX_MSC_DIFF_Detailed_2023_01_24-04_00_35_PM.txt
User2,DOX_MSC,DIFF_Detailed, 5,2,7,4368,FAIL,FAIL,0.46,24-01-2023 04:03PM,User2_DOX_MSC_DIFF_Detailed_2023_01_24-04_03_29_PM.txt
User2,DOX_MSC,DIFF_Detailed, 5,2,7,4368,FAIL,FAIL,0.65,27-01-2023 03:30PM,User2_DOX_MSC_DIFF_Detailed_2023_01_27-03_30_57_PM.txt
User2,DOX_MSC,DIFF_Detailed, 5,2,7,4368,FAIL,FAIL,0.51,27-01-2023 03:36PM,User2_DOX_MSC_DIFF_Detailed_2023_01_27-03_36_02_PM.txt
User2,DOX_MSC,ZIP_Summary,5,2,7,4368,FAIL,n/a,0.02,27-01-2023 03:37PM,User2_DOX_MSC_ZIP_Summary_2023_01_27-03_37_27_PM.txt
User2,DOX_MSC,ZIP_Summary,5,2,7,4368,FAIL,n/a,0.02,27-01-2023 03:40PM,User2_DOX_MSC_ZIP_Summary_2023_01_27-03_40_28_PM.txt
User2,DOX_MSC,ZIP_Detailed,5,2,7,4368,FAIL,n/a,0.05,27-01-2023 03:42PM,User2_DOX_MSC_ZIP_Detailed_2023_01_27-03_42_42_PM.txt
User2,DOX_MSC,DIFF_Summary, 5,2,7,4368,FAIL,FAIL,0.62,29-01-2023 01:06AM,User2_DOX_MSC_DIFF_Summary_2023_01_29-01_06_48_AM.txt
User2,DOX_MSC,DIFF_Summary, 5,2,7,4368,FAIL,FAIL,0.08,29-01-2023 01:09AM,User2_DOX_MSC_DIFF_Summary_2023_01_29-01_09_00_AM.txt
